t_ms,ax,ay,az,gx,gy,gz,yaw,pitch,roll
659045.0,-0.8346,0.6006,0.0507,1.2661,-0.1656,0.7449,211.27,53.85,84.29
659064.0,-0.8229,0.6123,0.0546,0.5009,1.1562,0.4666,211.29,53.83,84.31
659083.0,-0.8268,0.6045,0.0468,-0.1252,3.104,0.6753,211.32,53.83,84.35
659103.0,-0.8502,0.6045,0.0468,-0.0557,3.3823,0.9536,211.35,53.85,84.38
659122.0,-0.8619,0.6006,0.0546,1.1965,2.9649,0.6753,211.36,53.89,84.4
659141.0,-0.8658,0.624,0.0546,2.6574,1.7127,0.6753,211.37,53.89,84.42
659160.0,-0.8541,0.6318,0.0507,2.5183,1.0866,0.3971,211.4,53.88,84.45
659179.0,-0.8424,0.6357,0.0507,2.5183,2.1997,-0.229,211.42,53.85,84.48
659198.0,-0.8307,0.6279,0.0468,2.6574,3.9388,-0.0899,211.46,53.82,84.52
659217.0,-0.819,0.6045,0.0429,2.5878,4.9823,0.6058,211.49,53.81,84.56
659236.0,-0.8073,0.585,0.0468,3.4922,5.191,1.371,211.51,53.82,84.59
659255.0,-0.8112,0.6006,0.0546,5.1617,4.4953,1.5797,211.52,53.8,84.6
659274.0,-0.8034,0.6162,0.0819,5.1617,4.3562,1.5101,211.46,53.75,84.52
659293.0,-0.8229,0.6006,0.0819,3.2835,4.5649,1.7188,211.39,53.74,84.44
659312.0,-0.8385,0.6123,0.0819,3.0052,3.104,1.5797,211.33,53.74,84.36
659332.0,-0.8463,0.624,0.0741,3.1443,2.4779,0.0493,211.3,53.73,84.32
659351.0,-0.8385,0.6318,0.0741,2.8661,1.9214,0.1188,211.27,53.69,84.29
659370.0,-0.8385,0.6084,0.0741,1.2661,2.9649,0.3971,211.24,53.7,84.25
659389.0,-0.8385,0.5967,0.0585,0.9183,4.217,0.6753,211.27,53.91,84.29
659409.0,-0.8502,0.5889,0.0468,1.9617,4.5649,0.6058,211.3,53.95,84.33
659428.0,-0.8268,0.585,0.0624,4.6748,3.104,-0.4377,211.29,53.97,84.32
659447.0,-0.8307,0.6084,0.0702,5.44,1.7823,-0.0203,211.27,53.96,84.29
659466.0,-0.8268,0.6201,0.0663,4.1183,1.0866,0.6753,211.26,53.93,84.28
659486.0,-0.8268,0.6279,0.0663,2.9357,0.7388,0.4666,211.25,53.88,84.27
659505.0,-0.8385,0.6201,0.0702,2.0313,1.8518,0.0493,211.23,53.86,84.25
659524.0,-0.8346,0.6045,0.0663,0.7791,3.3823,-0.229,211.22,53.87,84.23
659543.0,-0.8502,0.6084,0.0468,0.4313,3.591,0.0493,211.26,53.88,84.27
659562.0,-0.8346,0.6084,0.0468,0.7096,3.591,0.1188,211.29,53.88,84.31
659581.0,-0.8268,0.5889,0.039,1.753,3.3127,-0.229,211.33,53.9,84.36
659600.0,-0.8229,0.5967,0.0702,2.727,3.0344,0.4666,211.3,53.89,84.33
659619.0,-0.8346,0.6084,0.0468,1.8922,3.591,0.6753,211.34,53.89,84.37
659638.0,-0.8385,0.624,0.0507,1.753,3.7997,-0.0899,211.36,53.87,84.4
659657.0,-0.8229,0.624,0.0507,1.4052,3.5214,-0.7855,211.39,53.84,84.43
659676.0,-0.8151,0.6162,0.0663,0.5009,4.0083,0.1884,211.37,53.8,84.41
659696.0,-0.8346,0.5967,0.0624,0.0139,5.0518,0.9536,211.37,53.82,84.4
659715.0,-0.8463,0.6123,0.0624,1.8922,4.4953,0.4666,211.36,53.83,84.4
659734.0,-0.8346,0.6123,0.0585,2.5878,3.7997,0.3275,211.37,53.82,84.4
659753.0,-0.8151,0.624,0.0468,2.3791,3.6605,0.4666,211.4,53.78,84.44
659772.0,-0.8229,0.6045,0.0585,1.9617,3.0344,0.1884,211.4,53.77,84.45
659791.0,-0.8346,0.6045,0.0702,1.9617,2.617,0.6058,211.38,53.78,84.41
659810.0,-0.8385,0.624,0.0624,1.9617,1.7127,0.6058,211.37,53.76,84.41
659830.0,-0.8307,0.6279,0.0546,1.8226,1.8518,0.1188,211.39,53.73,84.43
659849.0,-0.819,0.6162,0.0429,0.8487,3.104,0.2579,211.43,53.71,84.48
659868.0,-0.8385,0.6006,0.0312,0.3617,4.217,0.8145,211.48,53.73,84.54
659887.0,-0.8424,0.6006,0.0429,2.1704,3.7301,0.4666,211.51,53.75,84.58
659906.0,-0.8346,0.6123,0.039,3.6313,2.8953,0.4666,211.55,53.75,84.63
659925.0,-0.8151,0.6162,0.0585,4.327,2.4083,0.6753,211.55,53.71,84.64
659944.0,-0.819,0.6123,0.0624,2.5878,2.8257,1.7884,211.54,53.69,84.62
659963.0,-0.8229,0.6084,0.0624,2.1009,3.1736,2.0666,211.53,53.68,84.61
659982.0,-0.8424,0.624,0.0585,2.0313,3.1736,0.8145,211.54,53.67,84.61
660001.0,-0.8463,0.624,0.0468,1.753,2.8257,0.0493,211.56,53.67,84.65
660021.0,-0.8424,0.6045,0.0468,1.4052,2.2692,0.6753,211.59,53.69,84.67
660040.0,-0.8424,0.6084,0.0468,2.1704,1.7823,1.0927,211.61,53.7,84.7
660059.0,-0.8307,0.6006,0.0468,2.8661,2.5475,1.371,211.63,53.71,84.73
660078.0,-0.8385,0.6006,0.0507,3.7009,3.4518,0.9536,211.64,53.72,84.75
660098.0,-0.8307,0.6006,0.0507,3.9791,3.8692,0.7449,211.65,53.73,84.76
660117.0,-0.8307,0.5967,0.0507,4.1183,3.3127,0.3971,211.67,53.75,84.78
660136.0,-0.8229,0.6006,0.0546,4.4661,2.4083,-0.0899,211.67,53.75,84.78
660156.0,-0.8268,0.5928,0.0507,4.2574,2.4779,0.2579,211.68,53.77,84.79
660175.0,-0.8346,0.5967,0.0546,4.2574,2.1997,0.7449,211.68,53.78,84.8
660194.0,-0.8502,0.6123,0.0546,4.8835,1.7823,-0.229,211.68,53.79,84.8
660213.0,-0.8307,0.6279,0.0663,4.8139,1.2257,-1.1334,211.66,53.76,84.77
660232.0,-0.819,0.6201,0.0702,2.8661,1.7823,-0.9942,211.62,53.72,84.73
660252.0,-0.8346,0.6084,0.0585,1.6139,2.8257,-0.1594,211.62,53.72,84.73
660271.0,-0.8385,0.6045,0.0468,1.753,3.5214,0.5362,211.64,53.74,84.75
660291.0,-0.8385,0.6045,0.0429,2.3791,3.591,-0.0899,211.67,53.75,84.79
660310.0,-0.8424,0.6123,0.0507,2.8661,3.5214,-0.2986,211.68,53.75,84.81
660329.0,-0.8385,0.6084,0.0585,3.84,2.3388,-0.3681,211.68,53.76,84.8
660348.0,-0.8307,0.6123,0.0585,3.5617,1.7127,0.3971,211.67,53.75,84.79
660368.0,-0.8346,0.6123,0.0546,3.0748,2.0605,-0.0899,211.67,53.75,84.8
660387.0,-0.8307,0.6162,0.0546,1.6835,3.1736,-0.0203,211.68,53.73,84.8
660406.0,-0.8385,0.6084,0.0429,1.0574,4.0083,0.1188,211.71,53.74,84.84
660425.0,-0.8385,0.6045,0.0429,1.8226,3.0344,0.1884,211.74,53.75,84.87
660444.0,-0.8346,0.6045,0.0507,2.3096,2.2692,0.6058,211.74,53.76,84.88
660463.0,-0.8307,0.6123,0.0507,2.6574,2.0605,0.9536,211.76,53.75,84.9
660483.0,-0.8268,0.6045,0.039,2.24,2.4083,0.4666,211.79,53.75,84.94
660503.0,-0.8268,0.6123,0.039,2.5878,2.8953,-0.2986,211.83,5379.0,84.95
660694.0,-0.8385,0.5928,0.0429,0.5704,1.9214,0.2579,211.83,53.77,85.0
660713.0,-0.8424,0.5967,0.039,1.8226,1.3649,0.2579,211.86,53.8,85.04
660732.0,-0.8424,0.6045,0.0429,2.5878,1.3649,-0.0203,211.88,53.81,85.06
660809.0,-0.8307,0.6045,0.0468,1.6835,2.8257,1.0232,211.93,53.83,85.12
660828.0,-0.8307,0.6006,0.0507,1.8922,2.9649,0.6753,211.93,53.84,85.12
660847.0,-0.8346,0.5928,0.0468,2.1009,2.4083,0.5362,211.94,53.86,85.13
660866.0,-0.8385,0.5967,0.0507,2.4487,2.3388,0.884,211.94,53.88,85.14
660885.0,-0.8424,0.5928,0.0468,3.1443,1.991,0.0493,211.95,53.91,85.15
660905.0,-0.8307,0.6123,0.078,2.727,1.4344,-0.0203,211.87,53.89,85.05
660924.0,-0.8385,0.6084,0.0624,0.0835,3.0344,0.6753,211.85,53.89,85.02
660943.0,-0.8502,0.5967,0.0585,-0.96,3.7997,-0.6464,211.84,53.92,85.01
