t_ms,ax,ay,az,gx,gy,gz,yaw,pitch,roll
16388.0,0.3315,-0.9594,0.0156,6.689,-0.7953,26.3379,275.13,-19.08,-80.34
16402.0,0.3042,-0.9516,0.0039,6.689,-0.7257,26.5466,275.21,-19.05,-80.37
16416.0,0.2964,-0.9477,0.0,7.1759,-5.8735,24.4597,275.3,-19.02,-80.4
16430.0,0.3081,-0.9438,0.0039,7.7325,-7.1257,23.4858,275.39,-18.99,-80.43
16444.0,0.3159,-0.9477,0.0117,7.4542,-7.1953,23.4162,275.47,-18.96,-80.45
16458.0,0.3198,-0.9516,0.0078,6.689,-5.5953,24.5988,275.56,-18.94,-80.48
16472.0,0.3237,-0.9555,0.0039,6.6194,-5.7344,24.6684,275.64,-18.91,-80.51
16486.0,0.3237,-0.9516,0.0,6.6194,-6.7779,24.6684,275.73,-18.89,-80.54
16500.0,0.3198,-0.9555,0.0039,7.1064,-7.5431,24.5293,275.82,-18.86,-80.57
16514.0,0.3276,-0.9555,0.0078,7.3846,-7.7518,24.5293,275.9,-18.84,-80.59
16528.0,0.3159,-0.9516,0.0039,7.3151,-7.1257,23.8336,275.99,-18.81,-80.62
16542.0,0.3237,-0.9516,0.0117,7.1064,-7.404,23.2771,276.07,-18.79,-80.65
16556.0,0.3237,-0.9555,0.0195,6.689,-6.3605,23.764,276.16,-18.77,-80.67
16570.0,0.3159,-0.9516,0.0078,6.3411,-5.9431,23.6945,276.24,-18.74,-80.7
16584.0,0.3159,-0.9516,0.0078,6.4107,-5.6648,23.6249,276.33,-18.71,-80.73
16598.0,0.3198,-0.9633,0.0039,6.5498,-6.2214,23.764,276.41,-18.69,-80.75
16612.0,0.3159,-0.9555,0.0117,6.6194,-6.3605,23.9032,276.5,-18.66,-80.78
16626.0,0.3081,-0.9594,0.0117,6.6194,-6.4301,23.6249,276.58,-18.64,-80.81
16640.0,0.3198,-0.9594,0.0117,6.8281,-6.8474,23.138,276.67,-18.61,-80.83
16654.0,0.3237,-0.9633,0.0117,6.9672,-6.9866,23.4858,276.75,-18.59,-80.86
16668.0,0.3237,-0.9594,0.0117,6.7585,-6.2909,24.5293,276.84,-18.56,-80.88
16682.0,0.3198,-0.9555,0.0078,6.4803,-5.9431,24.9466,276.92,-18.54,-80.91
16696.0,0.3198,-0.9555,0.0156,6.2716,-5.804,24.5293,277.0,-18.51,-80.93
16710.0,0.3159,-0.9633,0.0078,6.5498,-5.804,24.3206,277.09,-18.49,-80.96
16724.0,0.3276,-0.9516,0.0078,6.7585,-6.2909,24.3206,277.17,-18.46,-80.98
16738.0,0.3237,-0.9516,0.0078,6.7585,-5.8735,24.3901,277.26,-18.44,-81.01
16752.0,0.3198,-0.9594,0.0,6.8281,-5.7344,24.4597,277.34,-18.42,-81.03
16766.0,0.3237,-0.9555,0.0039,6.8977,-5.7344,24.1814,277.42,-18.39,-81.06
16780.0,0.3276,-0.9555,0.0039,6.9672,-6.0822,24.3206,277.5,-18.37,-81.09
16794.0,0.3198,-0.9594,0.0039,7.0368,-6.4996,24.5988,277.59,-18.35,-81.11
16808.0,0.312,-0.9516,0.0,7.5238,-7.5431,24.3901,277.67,-18.32,-81.14
16822.0,0.3198,-0.9516,0.0039,7.5933,-7.8214,23.9032,277.75,-18.3,-81.16
16836.0,0.312,-0.9555,0.0078,7.0368,-6.8474,23.6945,277.84,-18.28,-81.19
16850.0,0.312,-0.9477,0.0117,6.8281,-6.7083,23.764,277.92,-18.25,-81.21
16864.0,0.3159,-0.9516,0.0117,6.7585,-6.4301,23.764,278.0,-18.23,-81.24
16878.0,0.3198,-0.9555,0.0078,6.4803,-6.4301,24.5988,278.08,-18.2,-81.26
16892.0,0.3237,-0.9516,0.0,6.2716,-5.9431,24.8771,278.17,-18.18,-81.29
16906.0,0.3276,-0.9477,0.0,6.689,-6.0127,23.9727,278.25,-18.16,-81.31
16920.0,0.3159,-0.9555,0.0078,6.8281,-5.9431,23.3466,278.33,-18.14,-81.34
16934.0,0.312,-0.9633,0.0039,7.1064,-6.0127,22.8597,278.41,-18.11,-81.36
16948.0,0.312,-0.9594,0.0117,7.9411,-6.3605,22.7901,278.49,-18.09,-81.38
16962.0,0.3198,-0.9633,0.0195,8.2194,-6.0822,23.0684,278.58,-18.06,-81.41
16976.0,0.3276,-0.9633,0.0195,7.2455,-4.3431,23.8336,278.66,-18.04,-81.43
16990.0,0.3354,-0.9555,0.0117,6.5498,-4.2735,24.3206,278.74,-18.02,-81.45
17004.0,0.3354,-0.9555,0.0078,5.9933,-4.8996,24.5293,278.82,-18.01,-81.47
17018.0,0.3198,-0.9555,0.0,6.0629,-7.3344,24.8075,278.9,-17.98,-81.5
