t_ms,ax,ay,az,gx,gy,gz,yaw,pitch,roll
545142.0,-0.8073,0.663,-0.1599,4.4661,3.2431,0.0493,224.54,49.19,103.01
545161.0,-0.8034,0.6669,-0.1599,3.353,2.6866,0.8145,224.55,49.2,103.02
545180.0,-0.8034,0.6552,-0.156,3.2139,1.5736,1.0927,224.56,49.22,103.03
545199.0,-0.8034,0.6552,-0.1599,3.353,0.6692,1.1623,224.57,49.24,103.05
545218.0,-0.7917,0.6747,-0.1599,4.1183,0.6692,0.7449,224.58,49.23,103.06
545238.0,-0.7839,0.6864,-0.1521,3.7704,1.9214,-0.5768,224.56,49.2,103.05
545257.0,-0.8034,0.663,-0.1638,1.753,2.617,-0.229,224.58,49.21,103.07
545276.0,-0.8073,0.6396,-0.1638,1.753,1.991,0.4666,224.61,49.25,103.11
545295.0,-0.7956,0.6513,-0.1482,4.6052,0.5997,-0.2986,224.6,49.27,103.1
545314.0,-0.78,0.6708,-0.1482,3.7704,1.0866,0.3275,224.58,49.25,103.08
545333.0,-0.78,0.6747,-0.1599,1.4748,3.1736,0.1884,224.59,49.23,103.09
545352.0,-0.7995,0.6318,-0.1716,-0.473,4.8431,0.5362,224.63,49.26,103.14
545371.0,-0.8151,0.6357,-0.1755,1.6139,3.7301,0.1884,224.67,49.31,103.2
545390.0,-0.8073,0.6474,-0.1638,4.0487,1.9214,0.3275,224.7,49.34,103.23
545409.0,-0.7917,0.6669,-0.156,3.5617,1.5736,0.3971,224.69,49.33,103.23
545428.0,-0.7956,0.6552,-0.1716,2.7965,1.9214,0.2579,224.72,49.34,103.27
545447.0,-0.7995,0.6513,-0.1716,3.1443,1.7127,0.2579,224.75,49.35,103.31
545467.0,-0.8034,0.6474,-0.1755,3.4226,1.6431,-0.0899,224.79,49.37,103.36
545486.0,-0.7956,0.6669,-0.1677,5.0226,0.5997,-1.2029,224.8,49.37,103.38
545505.0,-0.7878,0.6474,-0.1677,4.2574,0.4605,-0.9942,224.83,49.38,103.41
545524.0,-0.8073,0.6513,-0.1677,3.5617,0.8083,0.3275,224.85,49.4,103.44
545543.0,-0.8151,0.6552,-0.1638,5.3009,0.1127,-0.5073,224.86,49.43,103.46
545562.0,-0.8112,0.6669,-0.1599,6.1357,-0.6525,-1.0638,224.86,49.44,103.46
545582.0,-0.7956,0.6669,-0.1638,5.3704,-0.8612,-0.716,224.87,49.43,103.47
545601.0,-0.7917,0.663,-0.1677,2.9357,0.391,-0.0899,224.88,49.42,103.49
545620.0,-0.7878,0.663,-0.1599,1.753,2.1997,-0.0899,224.88,49.41,103.5
545639.0,-0.7956,0.6513,-0.1638,0.0139,3.8692,0.7449,224.9,49.43,103.51
545658.0,-0.8034,0.6435,-0.1755,0.2922,3.1736,1.2319,224.93,49.45,103.56
545677.0,-0.8112,0.6474,-0.1833,2.1704,2.4083,0.884,224.97,49.47,103.62
545696.0,-0.8034,0.6591,-0.1755,3.5617,1.3649,0.9536,225.0,49.47,103.65
545715.0,-0.7995,0.6708,-0.1677,3.7009,1.7127,0.3275,225.01,49.47,103.66
545734.0,-0.7995,0.6552,-0.1716,2.3791,3.104,0.6753,225.03,49.47,103.69
545753.0,-0.8034,0.6591,-0.1677,3.2835,2.9649,0.2579,225.04,49.48,103.71
545772.0,-0.8034,0.6552,-0.1638,3.2139,2.1997,0.4666,225.05,49.49,103.72
545791.0,-0.7917,0.6591,-0.1599,2.3096,2.6866,0.3275,225.05,49.49,103.72
545810.0,-0.7995,0.6396,-0.1638,1.2661,3.5214,0.7449,225.06,49.52,103.74
545829.0,-0.819,0.6396,-0.1755,2.3096,2.8257,0.1884,225.1,49.55,103.78
545848.0,-0.8034,0.6474,-0.1677,3.4922,1.5736,-0.2986,225.11,49.57,103.8
545868.0,-0.8034,0.6591,-0.1482,4.3965,1.7127,-0.1594,225.08,49.59,103.77
545887.0,-0.8034,0.6591,-0.1599,3.5617,2.4083,0.1884,225.08,49.59,103.77
545906.0,-0.7995,0.663,-0.156,3.2139,2.4779,-0.0203,225.07,49.59,103.75
545925.0,-0.8034,0.6552,-0.1638,2.1704,2.5475,0.0493,225.19,49.78,103.9
545944.0,-0.8073,0.6552,-0.1638,1.8226,2.0605,0.3275,225.19,49.79,103.91
545963.0,-0.8112,0.6513,-0.1638,2.1009,2.4083,-0.2986,225.19,49.8,103.92
545982.0,-0.8151,0.6513,-0.1677,2.8661,1.991,-0.9247,225.21,49.82,103.93
546001.0,-0.8034,0.6474,-0.1677,3.2835,0.9475,-0.229,225.22,49.83,103.95
546020.0,-0.7995,0.6552,-0.1755,3.6313,0.4605,0.0493,225.24,49.83,103.98
546039.0,-0.7995,0.6474,-0.1716,3.7704,0.8779,-0.5073,225.26,49.84,104.0
546058.0,-0.7956,0.6474,-0.1716,4.3965,0.8779,-1.1334,225.28,49.84,104.03
546078.0,-0.7917,0.6474,-0.1638,3.9096,1.6431,-0.3681,225.28,49.84,104.03
546097.0,-0.7917,0.6552,-0.1638,2.727,1.6431,0.3971,225.28,49.83,104.04
546116.0,-0.7956,0.6552,-0.1716,2.6574,1.9214,0.3971,225.3,49.82,104.05
546135.0,-0.7917,0.6435,-0.1638,2.1009,2.4779,-0.229,225.44,49.98,104.24
546154.0,-0.7995,0.6513,-0.1638,1.8226,2.8953,0.8145,225.44,49.98,104.24
546174.0,-0.8073,0.6474,-0.1638,1.8922,2.9649,1.1623,225.44,49.99,104.24
546193.0,-0.8112,0.6552,-0.1677,2.6574,1.9214,0.8145,225.44,50.0,104.25
546213.0,-0.7995,0.6591,-0.1599,2.5878,1.7127,0.1884,225.43,49.99,104.23
546232.0,-0.7956,0.6513,-0.1599,0.9878,2.8257,-0.0899,225.42,49.98,104.22
546256.0,-0.819,0.6357,-0.1755,0.9183,2.8257,0.1884,225.45,50.02,104.26
546276.0,-0.8073,0.6357,-0.1638,2.3791,1.7127,0.0493,225.46,50.05,104.27
546295.0,-0.8112,0.6474,-0.1677,2.5183,1.7127,-0.3681,225.47,50.06,104.28
546314.0,-0.8034,0.6357,-0.1638,2.0313,1.4344,-0.7855,225.47,50.08,104.28
546333.0,-0.8073,0.6357,-0.1677,1.6139,2.1997,-0.0899,225.48,50.1,104.3
546352.0,-0.8112,0.624,-0.156,1.4052,3.6605,0.1188,225.48,50.14,104.29
546371.0,-0.819,0.624,-0.1677,1.6139,4.2866,0.8145,225.5,50.19,104.31
546391.0,-0.819,0.6474,-0.1638,2.9357,2.9649,-0.9247,225.49,50.21,104.31
546410.0,-0.8112,0.6591,-0.156,1.8922,1.991,-0.8551,225.47,50.2,104.28
546429.0,-0.8034,0.6552,-0.1599,0.3617,2.4779,-0.6464,225.46,50.2,104.27
546448.0,-0.7995,0.6396,-0.1677,0.2922,3.9388,-1.4812,225.47,50.2,104.28
546467.0,-0.8073,0.6435,-0.1677,0.5704,4.0779,-1.2029,225.48,50.21,104.29
546486.0,-0.8073,0.6474,-0.1599,0.9878,3.9388,-0.8551,225.47,50.22,104.28
546505.0,-0.8034,0.6591,-0.156,0.8487,3.3127,-0.3681,225.45,50.21,104.25
546524.0,-0.8112,0.6435,-0.1677,-0.6122,3.8692,0.2579,225.46,50.22,104.26
546543.0,-0.8034,0.6279,-0.1638,0.4313,4.0779,0.0493,225.47,50.24,104.28
546621.0,-0.7917,0.6318,-0.1482,1.4052,1.9214,0.3971,225.44,50.25,104.23
546640.0,-0.7917,0.6435,-0.1638,1.753,3.3823,0.9536,225.44,50.24,104.23
546659.0,-0.7956,0.6474,-0.1638,1.9617,4.2866,0.2579,225.44,50.23,104.23
546679.0,-0.8034,0.663,-0.1677,1.127,3.8692,0.2579,225.44,50.21,104.23
546698.0,-0.7995,0.6513,-0.156,1.0574,2.5475,-0.3681,225.43,50.21,104.21
546813.0,-0.8346,0.6279,-0.1677,-0.1252,3.591,-0.3681,225.39,50.35,104.15
546832.0,-0.8229,0.6474,-0.1755,1.3357,1.2953,-1.6899,225.41,50.37,104.18
546851.0,-0.8112,0.6435,-0.1677,0.2226,1.017,-1.9681,225.42,50.38,104.19
546928.0,-0.8073,0.6513,-0.1677,2.5183,2.617,-1.4812,225.51,50.49,104.3
546947.0,-0.7917,0.6513,-0.1521,1.9617,2.2692,-2.1073,225.48,50.47,104.27
546966.0,-0.7956,0.6318,-0.1482,1.4748,2.5475,-1.4812,225.46,50.48,104.24
546986.0,-0.78,0.6396,-0.1404,1.4052,1.8518,-1.2725,225.41,50.47,104.18
547005.0,-0.7761,0.6669,-0.1209,2.9357,1.2257,-1.4116,225.3,50.41,104.04
547025.0,-0.7488,0.6708,-0.117,3.6313,0.4605,0.1884,225.19,50.32,103.89
547044.0,-0.7332,0.6786,-0.1404,6.9009,0.1823,5.8232,225.14,50.22,103.82
547063.0,-0.6552,0.7176,-0.2067,16.9878,-4.896,17.371,225.17,50.07,103.87
547082.0,-0.6006,0.8034,-0.2223,31.8052,-13.383,20.7101,225.18,49.88,103.9
547102.0,-0.507,0.8541,-0.2262,43.1443,-23.609,28.9188,225.17,49.66,103.91
547121.0,-0.4368,0.9828,-0.2223,47.8748,-33.8351,41.5101,225.14,49.44,103.9
547141.0,-0.3432,1.0725,-0.1794,47.3878,-37.6612,52.2927,225.08,49.2,103.85
547217.0,-0.3822,1.1232,-0.2106,35.0052,-35.7134,115.8753,224.81,48.24,103.6
547236.0,-0.4251,1.1661,-0.1989,43.9096,-57.7656,120.8145,224.73,47.99,103.54
547255.0,-0.3939,1.2519,-0.1482,60.327,-66.6003,127.7014,224.64,47.74,103.46
547274.0,-0.3666,1.2792,-0.1365,62.553,-81.209,135.2145,224.53,47.5,103.36
547293.0,-0.3666,1.2792,-0.1482,65.3356,-88.0264,147.7362,224.42,47.24,103.27
547312.0,-0.3198,1.3299,-0.1287,77.3704,-90.3221,153.0927,224.31,46.99,103.18
547331.0,-0.3042,1.3923,-0.1092,85.8574,-81.8351,159.3536,224.19,46.74,103.09
547408.0,-0.1209,1.7004,-0.2145,117.0226,-88.9308,199.0753,223.84,45.66,102.88
547427.0,-0.0468,1.7706,-0.2262,110.6226,-87.5395,204.3623,223.75,45.4,102.83
547446.0,0.0,1.7823,-0.2262,108.327,-83.5047,207.9101,223.66,45.13,102.79
547504.0,0.1872,1.8603,-0.2574,132.953,-81.1395,208.6753,223.41,44.32,102.68
547523.0,0.156,1.7862,-0.1989,135.1096,-79.1917,215.9797,223.33,44.05,102.65
547542.0,0.2067,1.7667,-0.1755,136.8487,-77.1743,220.9884,223.24,43.78,102.61
547561.0,0.234,1.7082,-0.1872,132.1878,-63.6786,231.4232,223.16,43.51,102.58
547581.0,0.3666,1.6809,-0.273,119.1791,-43.7134,252.084,223.1,43.22,102.57
547600.0,0.3666,1.6458,-0.4329,105.9617,-26.6699,275.5275,223.07,42.92,102.59
547619.0,0.3081,1.6029,-0.5148,97.5443,-31.9569,291.5275,223.06,42.62,102.63
547639.0,0.1287,1.4196,-0.702,93.5791,-66.6699,304.884,223.06,42.3,102.71
547772.0,0.1755,0.8541,-0.5343,104.9878,-53.8004,249.9275,222.95,40.32,103.22
547791.0,0.1638,0.8034,-0.5265,109.2313,-65.7656,243.7362,222.98,40.05,103.34
547810.0,0.2028,0.7059,-0.507,98.6574,-65.6264,245.1971,223.01,39.77,103.46
547829.0,0.0819,0.6396,-0.5499,88.9878,-55.2612,239.7014,223.07,39.53,103.62
547848.0,0.0819,0.5889,-0.5577,84.8139,-48.0264,226.1362,223.13,39.3,103.79
547868.0,0.0819,0.4173,-0.5889,74.3096,-22.9134,213.4058,223.23,39.09,104.0
547887.0,-0.0936,0.3276,-0.6981,77.2313,1.7127,192.6753,223.37,38.95,104.26
547906.0,-0.1872,0.2223,-0.7449,76.8139,16.4605,174.5188,223.52,38.86,104.53
547925.0,-0.2067,0.1248,-0.7488,78.4139,28.7736,159.0753,223.68,38.8,104.81
547945.0,-0.3276,0.0624,-0.7956,77.3704,28.9823,161.2319,223.85,38.77,105.11
547964.0,-0.5187,-0.0234,-0.7098,76.953,23.5562,156.8493,224.0,38.8,105.38
547983.0,-0.5343,-0.0897,-0.4953,79.6661,1.1562,152.4666,224.12,38.88,105.62
548003.0,-0.624,-0.2223,-0.3861,68.4661,-10.183,133.8927,224.22,39.01,105.8
548062.0,-1.248,-0.2925,-0.0975,35.2835,12.0779,30.0319,224.33,39.52,106.03
548081.0,-1.4469,-0.2535,0.0156,29.9965,24.6692,-21.4464,224.35,39.7,106.06
548100.0,-1.7745,-0.0741,0.3198,22.2748,46.2344,-79.9508,224.35,39.88,106.04
548120.0,-1.8564,0.1287,0.4836,-0.473,67.3823,-134.0725,224.35,40.08,106.0
548139.0,-1.9968,0.4836,0.6903,-18.9078,103.904,-190.9073,224.36,40.26,105.94
548158.0,-1.9968,0.6591,0.4602,-37.2035,133.9562,-263.4638,224.38,40.48,105.88
548177.0,-1.9968,1.1817,1.0296,-21.9687,129.0866,-347.916,224.38,40.67,105.78
548196.0,-1.9968,1.9929,1.9305,-19.6035,148.8431,-473.8986,224.39,40.84,105.68
548296.0,-1.9968,1.9929,1.0218,-365.8296,-187.3656,-1039.116,224.35,43.17,104.92
548430.0,-1.9968,1.9929,-1.5756,-388.2296,632.8779,-1060.9595,226.88,44.94,106.73
548449.0,-1.9968,1.9188,0.4836,-180.0904,579.7301,-870.4203,227.1,45.19,106.71
548469.0,-1.9968,1.9383,0.1365,213.7878,619.4518,-648.9943,227.28,45.38,106.79
548488.0,-1.9968,1.9929,-1.521,566.9009,618.0605,-505.6899,227.77,45.44,107.42
548507.0,-1.9968,1.9929,-1.9968,657.8226,500.4953,-492.7508,228.21,45.5,108.06
548527.0,-1.9968,1.9929,-1.6107,573.6487,463.2083,-426.316,228.63,45.54,108.66
548546.0,-1.9968,1.9929,-1.3494,548.8834,411.2431,-369.4116,228.99,45.57,109.18
548565.0,-1.794,1.9929,-1.1661,494.9704,328.0431,-294.6986,229.28,45.55,109.62
548585.0,-1.2051,1.9929,-0.6825,399.2487,292.9823,-124.9594,229.42,45.35,109.85
548605.0,-0.4758,1.9929,0.1404,294.4139,260.2866,45.4058,229.4,45.15,109.86
548624.0,-0.3978,1.9929,0.6786,205.5096,225.9214,105.9971,229.36,45.01,109.81
548644.0,-0.1287,1.9929,1.014,149.7878,204.9127,92.7101,229.31,44.88,109.74
548663.0,-0.2535,1.7472,1.6887,72.2226,174.0953,39.9101,229.27,44.82,109.65
548682.0,0.1443,0.9672,1.9929,53.6487,177.4344,26.7623,229.24,44.78,109.58
548701.0,0.3315,0.7839,1.9929,81.753,206.4431,10.1362,229.24,44.74,109.54
548720.0,-0.0351,0.5343,1.9929,94.553,207.2779,-25.2725,229.24,44.73,109.51
548853.0,0.6552,-0.0975,0.273,-16.3339,15.7649,-48.229,228.98,44.78,108.93
548872.0,0.6201,0.0351,0.2574,9.8226,16.2518,-37.029,228.96,44.74,108.89
548891.0,0.7293,0.2613,0.3081,6.6226,15.6953,-22.0029,228.92,44.67,108.84
548910.0,0.7722,-0.0117,0.3549,-33.6557,17.1562,-8.7855,228.9,44.62,108.78
548929.0,0.8892,-0.6513,0.507,-51.9513,12.7736,-5.029,228.88,44.61,108.74
548949.0,0.9633,-0.9633,0.6435,-14.5948,10.4083,-4.1942,228.87,44.62,108.72
548969.0,1.0842,-0.4758,0.8385,39.7357,8.7388,-2.8029,228.83,44.6,108.68
548988.0,1.0374,-0.156,0.858,26.3096,14.1649,14.5188,228.79,44.57,108.62
549007.0,0.9282,-0.2808,0.7683,6.3443,14.2344,18.2058,228.75,44.54,108.56
549026.0,0.8853,-0.3003,0.7449,8.9878,5.7475,14.7971,228.71,44.52,108.51
549045.0,0.7956,-0.2145,0.7644,7.5965,-2.3221,20.5014,228.65,44.49,108.44
549065.0,0.7098,-0.1794,0.7449,3.7704,-10.183,27.8058,228.59,44.47,108.36
549084.0,0.6045,-0.1209,0.7254,6.3443,-17.2786,36.1536,228.52,44.44,108.27
549103.0,0.5655,-0.1053,0.7683,8.0139,-21.8699,40.3275,228.45,44.41,108.18
549123.0,0.5421,-0.0585,0.78,8.7096,-21.9395,45.8927,228.37,44.39,108.08
549143.0,0.4797,-0.0858,0.7137,2.6574,-6.7047,31.284,228.29,44.36,107.99
549162.0,0.4914,-0.1131,0.7059,7.1096,-3.7134,15.6319,228.23,44.35,107.9
549182.0,0.507,-0.2223,0.6747,1.6835,-1.0699,9.9971,228.18,44.34,107.83
549201.0,0.5967,-0.2925,0.6591,-0.0557,-6.4264,2.0666,228.12,44.33,107.76
549220.0,0.6981,-0.3471,0.6474,-2.7687,-12.1308,7.0058,228.08,44.32,107.69
549239.0,0.7449,-0.2691,0.702,2.5183,-11.1569,13.4753,228.02,44.3,107.62
549258.0,0.7176,-0.1833,0.7371,3.4226,-6.5656,20.7101,227.97,44.27,107.55
549315.0,0.6318,-0.0663,0.7644,-2.4209,4.5649,3.4579,227.8,44.21,107.31
549334.0,0.6201,-0.0702,0.7449,-10.6991,3.7997,-3.7768,227.74,44.19,107.23
549353.0,0.5967,-0.1092,0.6903,-21.4817,1.2953,-7.2551,227.69,44.17,107.14
549372.0,0.5772,-0.2145,0.6591,-23.7774,-1.2786,-7.1855,227.64,44.16,107.06
549391.0,0.5538,-0.2535,0.6318,-24.6122,-7.0525,-6.2116,227.59,44.15,106.99
549410.0,0.5616,-0.273,0.6474,-23.36,-11.2264,-5.2377,227.53,44.15,106.91
549429.0,0.5811,-0.2496,0.6552,-18.6296,-12.7569,-8.0899,227.48,44.14,106.83
549449.0,0.6201,-0.2301,0.6669,-17.1687,-11.6438,-13.029,227.42,44.13,106.75
549468.0,0.6513,-0.2574,0.6318,-16.6122,-9.209,-15.3942,227.38,44.12,106.67
549488.0,0.6552,-0.2691,0.5928,-16.8209,-7.609,-14.9768,227.33,44.11,106.6
549507.0,0.6942,-0.2769,0.6006,-13.76,-9.0003,-16.2986,227.28,44.1,106.53
549526.0,0.7254,-0.3159,0.6084,-11.8122,-9.4177,-11.6377,227.24,44.09,106.47
549545.0,0.7488,-0.2925,0.6357,-5.2035,-9.3482,-5.8638,227.2,44.07,106.41
549564.0,0.7605,-0.2223,0.6435,2.4487,-8.8612,-1.1334,227.15,44.05,106.34
549623.0,0.7293,-0.1053,0.624,-1.7252,-2.9482,3.3884,226.98,43.96,106.12
549642.0,0.7254,-0.156,0.6045,-2.2817,-1.1395,-0.7855,226.94,43.94,106.05
549661.0,0.7176,-0.1677,0.6006,-1.2383,-0.4438,-1.9681,226.89,43.91,105.98
549680.0,0.6942,-0.1833,0.585,-3.3948,0.4605,-1.4812,226.84,43.89,105.92
549737.0,0.6942,-0.2535,0.6201,-1.3774,4.0083,1.0927,226.71,43.82,105.72
549756.0,0.6864,-0.2301,0.6552,4.1183,6.9301,0.7449,226.67,43.8,105.66
549775.0,0.6708,-0.1716,0.6552,7.3878,10.8257,-0.4377,226.62,43.78,105.59
549794.0,0.6591,-0.1833,0.6669,3.9096,12.0083,-1.3421,226.58,43.76,105.53
549813.0,0.6435,-0.2223,0.6669,0.5009,10.4779,-0.9247,226.53,43.74,105.46
549832.0,0.6357,-0.2301,0.6708,-0.473,7.2083,-1.4812,226.49,43.72,105.39
549851.0,0.6474,-0.234,0.6786,-0.2643,5.817,-1.1334,226.44,43.71,105.32
550101.0,0.6864,-0.1716,0.6747,3.4226,2.5475,3.1101,225.81,43.44,104.41
550120.0,0.6708,-0.1872,0.6864,-0.4035,2.7562,2.5536,225.76,43.41,104.34
550139.0,0.663,-0.2067,0.6903,-2.3513,2.6866,0.5362,225.71,43.39,104.26
550159.0,0.6591,-0.2067,0.6669,-2.8383,2.3388,-2.316,225.65,43.37,104.19
550178.0,0.6669,-0.2028,0.6474,-4.4383,1.5736,-5.6551,225.61,43.35,104.12
550197.0,0.6669,-0.2067,0.624,-6.1078,1.2953,-7.8116,225.56,43.33,104.05
550216.0,0.6591,-0.234,0.5967,-6.1774,0.1823,-7.6725,225.51,43.32,103.98
550235.0,0.6747,-0.2184,0.585,-4.8557,-1.9047,-6.8377,225.47,43.29,103.91
550335.0,0.6825,-0.2457,0.6318,4.1183,4.704,1.7884,225.23,43.18,103.56
550354.0,0.6747,-0.234,0.6396,5.8574,3.2431,3.3188,225.18,43.16,103.5
550373.0,0.663,-0.2184,0.6318,4.4661,1.017,4.4319,225.14,43.14,103.43
550392.0,0.6708,-0.2028,0.6201,5.3009,-2.1134,3.2493,225.09,43.11,103.36
550411.0,0.6747,-0.2028,0.6279,4.8835,-3.9917,3.5971,225.04,43.09,103.29
550430.0,0.6825,-0.2028,0.6435,3.5617,-4.2699,3.8058,224.98,43.06,103.22
550449.0,0.6903,-0.1833,0.6435,2.9357,-2.7395,3.1101,224.93,43.04,103.15
550468.0,0.6942,-0.195,0.6474,2.3791,-0.1656,1.9275,224.88,43.01,103.08
550507.0,0.6747,-0.2106,0.6513,1.6835,1.6431,0.6058,224.79,42.96,102.94
550526.0,0.6786,-0.1989,0.6357,1.753,0.8083,0.1884,224.74,42.94,102.87
550545.0,0.6903,-0.1989,0.6435,1.4052,-0.5134,-0.2986,224.69,42.92,102.79
550565.0,0.6942,-0.1872,0.6357,0.4313,-1.3482,-0.4377,224.64,42.89,102.72
550584.0,0.7137,-0.2067,0.6279,-0.8209,-1.8351,-0.0899,224.59,42.86,102.65
550603.0,0.7176,-0.2418,0.6201,-1.6557,-1.8351,1.6493,224.54,42.84,102.58
550622.0,0.7176,-0.2457,0.6162,0.0139,-1.9047,2.4145,224.49,42.81,102.52
550642.0,0.7254,-0.2379,0.6162,2.3096,-1.0699,2.3449,224.45,42.79,102.45
550661.0,0.7371,-0.234,0.6084,3.5617,0.1823,2.6232,224.4,42.76,102.38
550680.0,0.7371,-0.2184,0.6084,3.7009,0.8779,2.5536,224.36,42.73,102.32
550700.0,0.7371,-0.2145,0.6006,3.4922,1.7823,3.6666,224.31,42.7,102.25
550719.0,0.7293,-0.2145,0.6123,1.4748,2.8257,3.6666,224.26,42.67,102.19
550738.0,0.7215,-0.2106,0.6201,1.127,4.7736,3.4579,224.22,42.64,102.12
550757.0,0.702,-0.2106,0.6201,2.3096,7.1388,3.1797,224.17,42.62,102.05
550776.0,0.6903,-0.1716,0.6279,4.8139,8.1823,1.0927,224.13,42.59,101.99
550795.0,0.6747,-0.1482,0.6396,1.3357,8.6692,0.6058,224.08,42.56,101.91
550814.0,0.6708,-0.195,0.6474,-3.1861,8.391,1.1623,224.04,42.53,101.84
550833.0,0.6669,-0.234,0.6552,-2.2122,7.6257,1.0232,223.99,42.51,101.77
550852.0,0.6513,-0.2418,0.6591,-0.473,6.0953,1.0232,223.94,42.49,101.7
550871.0,0.663,-0.2184,0.6708,0.64,4.9823,0.0493,223.9,42.47,101.63
550890.0,0.663,-0.1989,0.6591,-0.0557,3.7997,0.0493,223.85,42.44,101.56
550909.0,0.663,-0.2145,0.6474,-2.0035,3.104,0.1884,223.8,42.42,101.49
550928.0,0.6669,-0.2496,0.6318,-3.3252,2.1301,1.0232,223.75,42.4,101.42
550947.0,0.663,-0.2535,0.6201,-1.5165,1.1562,2.5536,223.71,42.37,101.35
550966.0,0.6669,-0.2574,0.6201,1.4052,0.1823,4.571,223.66,42.35,101.28
550985.0,0.6747,-0.2418,0.6318,3.0748,0.1823,5.1275,223.61,42.33,101.21
551005.0,0.6825,-0.2496,0.6162,3.353,1.9214,4.7101,223.56,42.3,101.14
551024.0,0.6747,-0.2457,0.6123,4.7443,2.0605,4.7797,223.52,42.27,101.07
551044.0,0.6747,-0.2301,0.624,4.1878,1.3649,4.4319,223.47,42.25,101.0
551063.0,0.6786,-0.2379,0.6396,2.0313,1.3649,3.3188,223.42,42.22,100.93
551082.0,0.6864,-0.2418,0.6279,2.1704,2.1301,2.7623,223.37,42.2,100.86
551101.0,0.6825,-0.2379,0.6318,3.0748,2.5475,2.971,223.32,42.17,100.8
551121.0,0.6786,-0.2379,0.6474,3.4922,2.0605,2.8319,223.28,42.15,100.72
551140.0,0.6747,-0.2184,0.6474,2.5183,1.8518,2.1362,223.23,42.12,100.65
551159.0,0.6786,-0.2262,0.6396,1.6835,1.7127,1.5101,223.18,42.1,100.58
551179.0,0.6708,-0.2457,0.624,0.153,1.5736,1.1623,223.13,42.07,100.51
551198.0,0.6708,-0.2379,0.6201,0.5009,1.504,1.3014,223.08,42.05,100.44
551217.0,0.6747,-0.234,0.6318,1.4052,0.8779,2.484,223.04,42.02,100.37
551236.0,0.6747,-0.2301,0.6318,2.5878,0.7388,3.6666,222.99,41.99,100.3
551255.0,0.6669,-0.234,0.6396,3.0748,0.5301,4.7101,222.94,41.97,100.23
551274.0,0.6747,-0.234,0.6552,3.0052,0.8083,5.1971,222.89,41.94,100.16
551293.0,0.6747,-0.234,0.6552,2.5183,1.0866,5.4058,222.84,41.92,100.09
551351.0,0.6825,-0.2535,0.6279,-2.073,0.4605,1.6493,222.7,41.84,99.87
551370.0,0.6786,-0.2535,0.6201,-1.0991,1.017,1.2319,222.65,41.81,99.8
551389.0,0.6708,-0.2457,0.6279,0.0835,1.017,-0.2986,222.6,41.79,99.73
551408.0,0.6708,-0.2106,0.6279,0.4313,1.4344,-1.2029,222.55,41.76,99.66
551427.0,0.6786,-0.2262,0.624,-1.447,2.7562,-2.4551,222.51,41.74,99.59
551485.0,0.6786,-0.2457,0.6513,-0.6817,1.3649,-1.6899,222.36,41.66,99.37
551504.0,0.6864,-0.234,0.6435,-0.5426,1.1562,-1.4116,222.32,41.64,99.3
