t_ms,ax,ay,az,gx,gy,gz,yaw,pitch,roll
290889.0,0.7059,-0.1248,-0.7683,4.6052,1.8518,-1.6899,229.51,35.34,124.9
290908.0,0.7332,-0.1131,-0.7566,4.6052,1.7127,0.0493,229.6,35.21,125.04
290927.0,0.7215,-0.1248,-0.7605,4.6052,2.5475,1.9275,229.69,35.08,125.19
290946.0,0.7098,-0.1365,-0.7371,4.953,2.1997,3.1797,229.78,34.94,125.33
290965.0,0.6981,-0.1287,-0.7215,4.0487,1.6431,2.7623,229.87,34.81,125.47
290984.0,0.6942,-0.1131,-0.7332,2.4487,1.2953,1.0927,229.96,34.68,125.62
291003.0,0.6786,-0.1404,-0.7488,2.5878,0.9475,1.5797,230.05,34.55,125.76
291022.0,0.6552,-0.1443,-0.7371,3.7704,1.0866,2.4145,230.15,34.42,125.91
291042.0,0.6708,-0.1326,-0.7371,2.24,0.1823,4.084,230.24,34.28,126.06
291061.0,0.6708,-0.1365,-0.7449,0.9183,0.1823,2.0666,230.33,34.14,126.21
291080.0,0.6474,-0.1482,-0.7644,0.0139,1.8518,1.7188,230.43,34.01,126.37
291099.0,0.663,-0.156,-0.7878,0.2226,2.0605,2.7623,230.52,33.88,126.52
291118.0,0.702,-0.1287,-0.7527,1.3357,3.3127,1.3014,230.61,33.75,126.66
291137.0,0.6903,-0.1365,-0.7644,-0.3339,5.4692,0.1884,230.7,33.61,126.81
291156.0,0.663,-0.1482,-0.7878,-0.7513,6.5823,1.1623,230.79,33.48,126.96
291175.0,0.6318,-0.1599,-0.8034,0.4313,5.9562,2.9014,230.89,33.34,127.12
291194.0,0.6279,-0.1677,-0.7527,-0.3339,3.7997,4.7797,230.98,33.22,127.27
291213.0,0.6708,-0.1677,-0.7371,-1.1687,3.5214,3.5275,231.06,33.08,127.41
291232.0,0.6357,-0.1716,-0.7332,-0.8209,4.7736,1.4406,231.15,32.95,127.56
291251.0,0.6279,-0.1794,-0.7293,-1.2383,5.6083,-0.5073,231.25,32.82,127.72
291271.0,0.5889,-0.1794,-0.7098,-1.0991,6.7214,0.7449,231.34,32.69,127.88
291290.0,0.5577,-0.1716,-0.6513,0.2226,8.6692,0.8145,231.43,32.56,128.03
291309.0,0.4368,-0.1716,-0.5889,0.7791,13.5388,-1.8986,231.53,32.44,128.2
291328.0,0.2028,-0.1989,-0.5226,1.0574,21.0518,-8.8551,231.66,32.35,128.41
291347.0,-0.039,-0.2418,-0.3666,2.24,28.8431,-20.3334,231.81,32.35,128.66
291366.0,-0.2964,-0.273,-0.2379,-6.1774,40.4605,-29.516,231.93,32.47,128.84
291385.0,-0.4056,-0.2145,-0.1092,-18.56,54.8605,-42.5942,232.02,32.61,128.94
291405.0,-0.7995,-0.195,-0.1131,-28.16,68.217,-71.4638,232.1,32.77,129.01
291424.0,-0.9906,-0.1833,-0.1677,-30.247,71.5562,-111.8812,232.19,32.95,129.09
291443.0,-1.4742,-0.1404,-0.1092,-27.1165,66.2692,-165.9333,232.27,33.14,129.14
291463.0,-1.9968,0.0819,0.2613,-25.3078,60.1475,-234.5247,232.34,33.33,129.15
291482.0,-1.9968,0.663,0.585,-32.4035,63.3475,-335.2551,232.41,33.52,129.12
291501.0,-1.9968,1.3533,0.5733,-56.2644,86.9997,-409.1334,232.49,33.71,129.06
291520.0,-1.9968,1.9929,0.4758,-79.6383,86.4431,-573.7943,232.58,33.91,128.98
291540.0,-1.9968,1.9929,0.6045,-101.5513,70.9997,-724.9595,232.72,34.16,128.92
291559.0,-1.9968,1.9929,0.5226,-109.1339,55.2779,-812.9595,232.87,34.43,128.86
291578.0,-1.9968,1.9929,0.8307,-133.76,47.3475,-852.9595,233.03,34.7,128.81
291598.0,-1.9968,1.9929,1.1427,-149.9687,59.7301,-785.5508,233.18,34.97,128.74
291617.0,-1.9968,1.9929,1.6302,-188.7165,79.2779,-734.4203,233.33,35.19,128.68
291636.0,-1.9968,1.9929,1.9929,-240.6122,96.2518,-705.6203,233.47,35.41,128.6
291655.0,-1.9968,1.9929,1.9929,-272.4731,134.9301,-721.4812,233.63,35.62,128.51
291675.0,-1.9968,1.9929,1.9773,-266.9078,196.4953,-646.2812,233.8,35.81,128.43
291694.0,-1.9968,1.9929,1.6848,-293.2035,300.0083,-445.8638,233.93,35.91,128.33
291713.0,-1.9968,1.9929,-0.0351,-243.1861,484.4257,-383.9507,234.1,35.99,128.23
291733.0,-1.9968,1.9929,-0.3471,-168.5426,566.1649,-505.7595,234.32,36.1,128.17
291752.0,-1.9968,1.9929,-0.663,-167.9861,583.2083,-554.0377,234.55,36.23,128.1
291771.0,-1.9968,1.9929,-0.8034,-195.6035,564.9822,-550.2812,234.77,36.36,128.02
291790.0,-1.9968,1.482,-0.7644,-76.647,540.4953,-492.3334,235.02,36.57,128.06
