t_ms,ax,ay,az,gx,gy,gz,yaw,pitch,roll
1065159.0,-0.7995,0.663,0.0312,4.953,2.6866,1.371,214.22,51.42,88.34
1065178.0,-0.8112,0.6669,0.0273,3.84,2.9649,0.4666,214.2,51.39,88.32
1065197.0,-0.8073,0.663,0.0312,2.5183,2.8953,1.1623,214.17,51.36,88.28
1065216.0,-0.8151,0.6474,0.0117,1.3357,3.1736,1.9275,214.19,51.36,88.3
1065235.0,-0.8151,0.6357,0.0078,2.4487,2.7562,0.4666,214.21,51.38,88.33
1065254.0,-0.8034,0.624,0.0078,2.7965,2.5475,0.5362,214.24,51.41,88.36
1065273.0,-0.8151,0.6162,0.0039,2.6574,2.617,1.0927,214.27,51.45,88.4
1065292.0,-0.8229,0.6279,-0.0039,3.4226,1.6431,0.5362,214.31,51.48,88.45
1065311.0,-0.8229,0.6474,0.0039,4.3965,0.9475,-0.3681,214.33,51.49,88.49
1065331.0,-0.8073,0.6435,0.0156,4.327,0.1823,-1.4812,214.34,51.49,88.49
1065350.0,-0.8112,0.6435,0.0117,4.1183,0.5301,-1.6899,214.35,51.49,88.51
1065369.0,-0.8112,0.6513,0.0117,3.0052,1.1562,-0.3681,214.36,51.48,88.53
1065388.0,-0.8112,0.6435,0.0,2.727,1.504,0.5362,214.39,51.49,88.57
1065407.0,-0.8151,0.6435,0.0039,3.2835,1.7127,0.6753,214.42,51.49,88.6
1065426.0,-0.8229,0.6474,0.0078,3.2139,1.7127,1.0232,214.43,51.5,88.63
1065445.0,-0.8112,0.6552,0.0039,3.5617,1.3649,0.884,214.46,51.49,88.66
1065464.0,-0.8112,0.6513,0.0,3.353,1.991,0.9536,214.49,51.48,88.7
1065483.0,-0.8112,0.6318,0.0039,2.3096,3.0344,0.884,214.51,51.5,88.73
1065502.0,-0.8229,0.624,0.0039,2.5878,3.104,1.0232,214.53,51.54,88.75
1065521.0,-0.8229,0.6357,0.0117,2.9357,2.4083,0.9536,214.54,51.56,88.76
1065540.0,-0.8151,0.6357,0.0039,3.353,1.3649,1.0232,214.56,51.58,88.79
1065559.0,-0.8112,0.6435,0.0039,3.1443,1.504,0.884,214.58,51.58,88.82
1065578.0,-0.8073,0.6435,0.0039,2.727,3.3127,0.1188,214.6,51.57,88.84
1065597.0,-0.8151,0.6279,0.0117,1.9617,4.8431,-0.4377,214.61,51.6,88.85
1065616.0,-0.8229,0.624,0.0195,2.1009,4.1475,0.0493,214.59,51.64,88.83
1065636.0,-0.8229,0.6162,0.0156,3.4922,1.6431,-0.0899,214.59,51.69,88.82
1065655.0,-0.8073,0.6396,0.0234,3.6313,0.1127,-0.2986,214.56,51.69,88.79
1065674.0,-0.8073,0.6513,0.0234,2.4487,0.6692,-0.4377,214.54,51.67,88.76
1065693.0,-0.8073,0.6513,0.0117,1.127,2.4083,-0.0899,214.54,51.65,88.77
1065712.0,-0.8034,0.6396,0.0117,0.2226,3.3823,0.3275,214.55,51.64,88.78
1065731.0,-0.8229,0.6357,0.0078,-0.1948,3.4518,-0.0203,214.56,51.66,88.8
1065750.0,-0.8229,0.624,0.0117,0.2226,2.9649,-0.5768,214.57,51.7,88.8
1065769.0,-0.819,0.6279,0.0078,1.127,1.7127,-0.716,214.58,51.72,88.82
1065788.0,-0.819,0.6357,0.0078,2.1009,0.6692,-0.9942,214.59,51.74,88.83
1065807.0,-0.819,0.6318,0.0078,2.3791,0.3214,-1.3421,214.6,51.76,88.85
1065827.0,-0.8112,0.6435,0.0078,2.8661,-0.0264,-0.8551,214.62,51.75,88.86
1065846.0,-0.8073,0.6513,0.0078,2.7965,0.391,0.1884,214.63,51.73,88.88
1065909.0,-0.819,0.6552,0.0078,1.753,2.1997,-0.6464,214.65,51.7,88.91
1065928.0,-0.8151,0.6474,0.0,1.1965,1.5736,-0.2986,214.68,51.7,88.94
1065947.0,-0.8073,0.6435,0.0039,1.6139,1.2257,-0.0203,214.69,51.69,88.96
1065967.0,-0.8112,0.6396,0.0039,1.2661,2.617,0.5362,214.71,51.69,88.99
1065986.0,-0.8268,0.6435,0.0,1.6835,3.8692,0.3275,214.74,51.71,89.02
1066005.0,-0.8229,0.6435,0.0039,2.24,3.6605,0.3971,214.75,51.71,89.04
1066024.0,-0.8151,0.6357,0.0117,2.5183,3.104,1.7884,214.75,51.72,89.04
1066043.0,-0.8151,0.6396,0.0117,2.5183,3.3127,1.5797,214.75,51.73,89.04
1066062.0,-0.8151,0.6396,0.0156,1.9617,4.3562,0.8145,214.74,51.73,89.03
1066081.0,-0.8151,0.6318,0.0156,0.9878,4.6344,0.2579,214.73,51.75,89.01
1066101.0,-0.819,0.6279,0.0195,0.9878,3.7301,0.6753,214.71,51.77,88.99
1066120.0,-0.819,0.6357,0.0156,1.4052,3.104,0.7449,214.7,51.79,88.98
1066139.0,-0.8151,0.6396,0.0156,1.6139,2.5475,0.6058,214.7,51.79,88.97
1066217.0,-0.8151,0.6435,0.0156,2.3791,1.8518,0.3275,214.73,51.83,89.01
1066237.0,-0.8112,0.6396,0.0078,1.3357,2.0605,0.884,214.74,51.82,89.02
1066256.0,-0.8112,0.6435,0.0078,1.4748,2.8257,0.6753,214.74,51.82,89.03
1066275.0,-0.819,0.6474,0.0117,1.3357,3.3127,0.0493,214.74,51.81,89.03
1066294.0,-0.819,0.6396,0.0078,1.0574,2.9649,-0.0899,214.75,51.82,89.04
1066313.0,-0.8151,0.6279,0.0039,1.4748,2.1997,0.3275,214.77,51.84,89.06
1066332.0,-0.8151,0.6357,0.0078,2.727,1.6431,0.7449,214.77,51.84,89.07
1066351.0,-0.8151,0.6513,0.0117,2.8661,2.4779,1.0927,214.77,51.83,89.06
1066371.0,-0.8151,0.6474,0.0078,2.6574,2.6866,0.4666,214.78,51.82,89.07
1066390.0,-0.8112,0.6552,0.0156,2.6574,2.4779,0.1188,214.77,51.79,89.06
1066409.0,-0.8151,0.6474,0.0195,1.8922,2.4083,0.1188,214.75,51.78,89.04
1066428.0,-0.8073,0.6396,0.0117,1.5443,2.1301,0.0493,214.75,51.78,89.04
1066447.0,-0.8151,0.6357,0.0078,0.9878,2.8257,0.1884,214.76,51.79,89.04
1066466.0,-0.8112,0.6318,0.0039,1.4748,3.0344,0.3275,214.77,51.79,89.06
1066485.0,-0.8112,0.6279,0.0,2.7965,2.4779,0.7449,214.8,51.81,89.09
1066543.0,-0.8073,0.6474,0.0195,2.3791,2.617,1.0927,214.74,51.78,89.02
1066562.0,-0.819,0.6552,0.0156,0.7096,3.1736,0.1884,214.73,51.77,89.01
1066581.0,-0.819,0.6396,0.0117,0.5009,2.1997,-0.5768,214.73,51.77,89.01
1066828.0,-0.819,0.6435,0.0039,4.0487,2.1997,0.2579,214.83,51.81,89.14
1066847.0,-0.8151,0.6435,0.0195,4.327,1.6431,0.2579,214.8,51.81,89.11
1066866.0,-0.8151,0.6357,0.0234,3.6313,1.9214,0.9536,214.77,51.82,89.07
1066885.0,-0.8112,0.6318,0.0195,3.1443,2.2692,0.884,214.75,51.83,89.04
1066904.0,-0.8151,0.6357,0.0156,2.7965,2.5475,0.4666,214.74,51.83,89.03
1066923.0,-0.8112,0.6279,0.0156,2.727,1.991,-0.229,214.73,51.85,89.02
1066942.0,-0.8112,0.6357,0.0156,3.0052,1.7823,0.6753,214.72,51.85,89.01
1066961.0,-0.819,0.6279,0.0156,3.0748,1.7127,1.0232,214.71,51.87,88.99
1066980.0,-0.8073,0.6435,0.0195,3.0748,1.6431,1.2319,214.69,51.85,88.97
1066999.0,-0.8112,0.6396,0.0078,2.24,2.2692,1.1623,214.7,51.85,88.98
