t_ms,ax,ay,az,gx,gy,gz,yaw,pitch,roll
1187025.0,-0.8307,0.5577,0.0702,-1.447,-3.2264,3.6666,213.23,54.28,87.85
1187044.0,-0.8697,0.6162,0.0663,-0.96,-6.2177,3.6666,213.11,54.29,87.68
1187063.0,-0.8697,0.6513,0.078,1.3357,-6.7047,1.2319,212.97,54.24,87.49
1187082.0,-0.8541,0.6942,0.0585,-3.1165,-2.6699,1.4406,212.92,54.12,87.41
1187101.0,-0.8697,0.624,0.0351,-9.8643,1.4344,1.9275,212.92,54.13,87.39
1187120.0,-0.8541,0.5538,0.0312,-8.3339,4.7736,1.3014,212.92,54.21,87.37
1187140.0,-0.8346,0.5577,0.0429,-2.6991,6.2344,-0.9247,212.89,54.28,87.32
1187159.0,-0.8307,0.5733,0.0468,-0.1948,4.4257,0.7449,212.85,54.31,87.26
1187179.0,-0.8385,0.6084,0.0312,-0.96,2.0605,5.1275,212.86,54.3,87.25
1187198.0,-0.8619,0.6162,0.0156,-0.96,1.0866,5.1971,212.9,54.3,87.29
1187217.0,-0.8736,0.5811,0.0078,3.4226,-0.3743,1.4406,212.95,54.35,87.34
1187236.0,-0.8385,0.5772,0.0312,10.24,0.5301,-2.5247,212.95,54.39,87.33
1187255.0,-0.8229,0.6045,0.0702,10.3791,4.4257,-3.0812,212.83,54.35,87.17
1187274.0,-0.8229,0.5733,0.0819,5.3009,5.8866,-2.0377,212.67,54.38,86.96
1187293.0,-0.858,0.5421,0.0546,2.7965,5.4692,1.1623,212.62,54.48,86.88
1187313.0,-0.8736,0.546,0.0351,6.0661,0.7388,2.0666,212.62,54.58,86.87
1187332.0,-0.858,0.5733,0.0351,13.3704,-5.5221,-2.4551,212.62,54.63,86.87
1187351.0,-0.8346,0.6201,0.0585,19.9096,-11.296,-8.2986,212.56,54.59,86.78
1187371.0,-0.8307,0.624,0.0897,14.6226,-13.9395,-6.3507,212.39,54.52,86.57
1187390.0,-0.8307,0.6279,0.0741,6.0661,-17.696,0.2579,212.28,54.45,86.43
1187409.0,-0.8151,0.6318,0.0624,0.0139,-20.9656,6.0319,212.22,54.36,86.34
