t_ms,ax,ay,az,gx,gy,gz,yaw,pitch,roll
1157251.0,-0.7254,0.6747,-0.1443,30.2748,-20.8264,7.6319,226.76,49.43,107.42
1157271.0,-0.6591,0.7137,-0.1404,35.2835,-18.3917,8.4666,226.63,49.27,107.26
1157290.0,-0.6435,0.7371,-0.1482,36.0487,-13.1743,9.6493,226.52,49.09,107.12
1157310.0,-0.6435,0.7449,-0.1209,35.1443,-10.183,12.2232,226.38,48.91,106.94
1157329.0,-0.6669,0.7995,-0.1092,33.753,-8.1656,15.6319,226.22,48.73,106.74
1157348.0,-0.6747,0.8619,-0.0858,30.6226,-6.496,14.0319,226.07,48.56,106.53
1157367.0,-0.7059,0.9438,-0.0975,25.0574,-3.783,8.1884,225.92,48.39,106.34
1157386.0,-0.7293,0.9633,-0.0897,14.2748,-2.6699,0.1188,225.77,48.22,106.14
1157405.0,-0.7059,0.9009,-0.0741,-0.1948,-1.209,-4.8203,225.61,48.06,105.92
1157424.0,-0.6552,0.7878,-0.1053,-13.0643,2.1997,-5.516,225.48,47.89,105.72
1157443.0,-0.6279,0.6786,-0.1482,-18.7687,6.9997,-4.1942,225.42,47.75,105.63
1157463.0,-0.6357,0.6357,-0.1911,-17.5165,10.8953,-3.2203,225.45,47.65,105.65
1157482.0,-0.7059,0.6825,-0.1677,-12.2991,14.9301,-3.0812,225.43,47.58,105.6
1157521.0,-0.7059,0.975,-0.0117,-2.4209,18.7562,-15.4638,225.1,47.32,105.12
1157540.0,-0.6864,0.9789,-0.0312,-12.647,25.2953,-13.9334,224.96,47.16,104.91
1157559.0,-0.7644,0.8892,-0.1404,-33.8643,31.7649,0.1188,224.86,46.99,104.74
1157578.0,-0.7956,0.741,-0.1911,-48.5426,30.791,12.7797,224.88,46.96,104.73
1157598.0,-0.7917,0.624,-0.2418,-45.5513,26.4083,13.684,224.98,47.01,104.84
1157617.0,-0.8229,0.585,-0.2574,-25.1687,20.1475,6.5188,225.09,47.09,104.97
1157636.0,-0.8541,0.6435,-0.2535,-1.3078,11.3127,-2.1768,225.18,47.17,105.08
1157656.0,-0.8541,0.702,-0.2106,15.4574,1.3649,-9.9681,225.22,47.23,105.13
1157675.0,-0.8346,0.7059,-0.1521,21.7878,-5.7308,-13.5855,225.15,47.31,105.03
1157694.0,-0.8151,0.663,-0.1326,19.7704,-8.583,-11.1507,225.06,47.43,104.91
1157713.0,-0.7839,0.6396,-0.1326,15.6661,-9.0699,-5.7942,224.99,47.53,104.8
1157732.0,-0.7722,0.6513,-0.1365,10.5878,-6.7047,-1.0638,224.91,47.6,104.69
1157751.0,-0.7761,0.663,-0.1482,8.5704,-3.9221,-0.1594,224.87,47.64,104.62
1157770.0,-0.7722,0.6825,-0.1404,8.5704,-2.3917,-1.6203,224.8,47.65,104.52
1157789.0,-0.7722,0.6981,-0.1365,8.0139,1.0866,-2.1768,224.71,47.64,104.39
1157809.0,-0.7878,0.6942,-0.1404,4.8139,3.7997,-3.1507,224.64,47.66,104.28
1157828.0,-0.8034,0.6435,-0.1521,2.1009,4.9127,-3.2899,224.63,47.75,104.25
1157847.0,-0.8151,0.5889,-0.1716,2.5183,3.591,-2.3855,224.67,47.88,104.3
1157866.0,-0.819,0.5616,-0.1872,7.527,0.8083,-0.3681,224.74,48.01,104.38
1157885.0,-0.8346,0.585,-0.195,14.553,-2.8786,0.9536,224.8,48.12,104.46
1157904.0,-0.8229,0.6279,-0.1716,20.327,-6.0786,-0.2986,224.82,48.22,104.48
1157923.0,-0.8151,0.6591,-0.1443,22.3443,-6.983,-2.6638,224.77,48.29,104.42
1157942.0,-0.819,0.6513,-0.1326,21.0922,-6.8438,-3.7768,224.71,48.39,104.33
1157961.0,-0.8151,0.6318,-0.117,18.24,-7.0525,-3.429,224.62,48.51,104.2
1157980.0,-0.8151,0.6162,-0.1092,16.9878,-7.0525,-2.7334,224.53,48.65,104.08
1157999.0,-0.7995,0.624,-0.1131,14.1357,-6.7743,-2.1768,224.44,48.77,103.95
1158019.0,-0.7956,0.6318,-0.1287,10.6574,-5.0351,-1.829,224.39,48.85,103.87
1158038.0,-0.8112,0.6201,-0.1248,8.153,-2.9482,-3.429,224.34,48.96,103.79
1158057.0,-0.8229,0.6279,-0.1365,7.8748,-2.4612,-4.1942,224.31,49.05,103.75
1158076.0,-0.8073,0.6396,-0.1404,8.2922,-3.3656,-4.8203,224.29,49.12,103.71
1158095.0,-0.8073,0.6474,-0.1521,7.6661,-3.0177,-5.4464,224.29,49.16,103.7
1158115.0,-0.7995,0.6435,-0.1521,6.9009,-2.4612,-6.7681,224.29,49.2,103.69
1158135.0,-0.7956,0.663,-0.1521,6.4139,-1.6264,-6.9073,224.29,49.21,103.67
1158154.0,-0.7878,0.6669,-0.1365,5.0922,-0.0264,-6.6986,224.24,49.21,103.6
1158173.0,-0.7878,0.6825,-0.1404,3.2139,2.617,-5.8638,224.21,49.19,103.54
1158192.0,-0.7878,0.6942,-0.1326,0.0835,5.3301,-5.3768,224.15,49.15,103.45
1158211.0,-0.78,0.7176,-0.1287,-3.7426,8.0431,-4.4029,224.08,49.08,103.34
1158230.0,-0.78,0.7332,-0.1209,-6.247,11.9388,-3.429,223.99,48.99,103.2
1158249.0,-0.78,0.7371,-0.1521,-11.8817,14.0257,-3.2203,223.97,48.9,103.16
1158268.0,-0.7878,0.7293,-0.1638,-16.6817,16.9475,-2.8029,223.98,48.84,103.14
